"source","Accession"
"GISAID","EPI_ISL_13889449"
"GISAID","EPI_ISL_13889450"
"GISAID","EPI_ISL_13889515"
"GISAID","EPI_ISL_13889590"
"GISAID","EPI_ISL_13889660"
"GISAID","EPI_ISL_13889729"
"GISAID","EPI_ISL_13889796"
"GISAID","EPI_ISL_13889908"
"GISAID","EPI_ISL_13889977"
"GISAID","EPI_ISL_13890048"
"GISAID","EPI_ISL_13890135"
"GISAID","EPI_ISL_13890204"
"GISAID","EPI_ISL_13890273"
"GISAID","EPI_ISL_13890338"
"GISAID","EPI_ISL_13890408"
"GISAID","EPI_ISL_13890464"
"GISAID","EPI_ISL_13890465"
"GISAID","EPI_ISL_13890466"
"GISAID","EPI_ISL_13890467"
"GISAID","EPI_ISL_13890468"
"GISAID","EPI_ISL_13890469"
"GISAID","EPI_ISL_13890470"
"GISAID","EPI_ISL_13890471"
"GISAID","EPI_ISL_13890472"
"GISAID","EPI_ISL_13890473"
"GISAID","EPI_ISL_13890474"
"GISAID","EPI_ISL_13890475"
"GISAID","EPI_ISL_13890476"
"GISAID","EPI_ISL_13890477"
"GISAID","EPI_ISL_13890478"
"GISAID","EPI_ISL_13890479"
"GISAID","EPI_ISL_13890480"
"GISAID","EPI_ISL_13890481"
"GISAID","EPI_ISL_13890482"
"GISAID","EPI_ISL_13891126"
"GISAID","EPI_ISL_13908328"
"GISAID","EPI_ISL_13908329"
"GISAID","EPI_ISL_13908330"
"GISAID","EPI_ISL_13908331"
"GISAID","EPI_ISL_13908332"
"GISAID","EPI_ISL_13908333"
"GISAID","EPI_ISL_13908334"
"GISAID","EPI_ISL_13908335"
"GISAID","EPI_ISL_13908336"
"GISAID","EPI_ISL_13908337"
"GISAID","EPI_ISL_13908338"
"GISAID","EPI_ISL_13908339"
"GISAID","EPI_ISL_13908340"
"GISAID","EPI_ISL_13908341"
"GISAID","EPI_ISL_13908342"
"GISAID","EPI_ISL_13908343"
"GISAID","EPI_ISL_13908344"
"GISAID","EPI_ISL_13908345"
"GISAID","EPI_ISL_13908346"
"GISAID","EPI_ISL_13908347"
"GISAID","EPI_ISL_13908348"
"GISAID","EPI_ISL_13908349"
"GISAID","EPI_ISL_13908350"
"GISAID","EPI_ISL_13908351"
"GISAID","EPI_ISL_13908352"
"GISAID","EPI_ISL_13908353"
"GISAID","EPI_ISL_13908354"
"GISAID","EPI_ISL_13908355"
"GISAID","EPI_ISL_13908356"
"GISAID","EPI_ISL_13908357"
"GISAID","EPI_ISL_13908358"
"GISAID","EPI_ISL_13908359"
"GISAID","EPI_ISL_13908360"
"GISAID","EPI_ISL_13908361"
"GISAID","EPI_ISL_13908362"
"GISAID","EPI_ISL_13908363"
"GISAID","EPI_ISL_13908364"
"GISAID","EPI_ISL_13908365"
"GISAID","EPI_ISL_13953610"
"GISAID","EPI_ISL_13953611"
"GISAID","EPI_ISL_13955501"
"GISAID","EPI_ISL_13958697"
"GISAID","EPI_ISL_13958698"
"GISAID","EPI_ISL_13983354"
"GISAID","EPI_ISL_13983355"
"GISAID","EPI_ISL_13983356"
"GISAID","EPI_ISL_13983888"
"GISAID","EPI_ISL_13993734"
"GISAID","EPI_ISL_13993735"
"GISAID","EPI_ISL_13993737"
"GISAID","EPI_ISL_13993738"
"GISAID","EPI_ISL_13993739"
"GISAID","EPI_ISL_14003930"
"GISAID","EPI_ISL_14011193"
"GISAID","EPI_ISL_14021725"
"GISAID","EPI_ISL_14033204"
"GISAID","EPI_ISL_14033205"
"GISAID","EPI_ISL_14033206"
"GISAID","EPI_ISL_14033207"
"GISAID","EPI_ISL_14033208"
"GISAID","EPI_ISL_14033209"
"GISAID","EPI_ISL_14033210"
"GISAID","EPI_ISL_14033211"
"GISAID","EPI_ISL_14033212"
"GISAID","EPI_ISL_14033213"
"GISAID","EPI_ISL_14049244"
"GISAID","EPI_ISL_14049245"
"GISAID","EPI_ISL_14050451"
"GISAID","EPI_ISL_14050452"
"GISAID","EPI_ISL_14050453"
"GISAID","EPI_ISL_14050454"
"GISAID","EPI_ISL_14050455"
"GISAID","EPI_ISL_14050456"
"GISAID","EPI_ISL_14050457"
"GISAID","EPI_ISL_14050458"
"GISAID","EPI_ISL_14070493"
"GISAID","EPI_ISL_14070852"
"GISAID","EPI_ISL_14070854"
"GISAID","EPI_ISL_14070855"
"GISAID","EPI_ISL_14153982"
"GISAID","EPI_ISL_14166709"
"GISAID","EPI_ISL_14167248"
"GISAID","EPI_ISL_14167573"
"GISAID","EPI_ISL_14167574"
"GISAID","EPI_ISL_14167575"
"GISAID","EPI_ISL_14170201"
"GISAID","EPI_ISL_14181948"
"GISAID","EPI_ISL_14181949"
"GISAID","EPI_ISL_14181950"
"GISAID","EPI_ISL_14181951"
"GISAID","EPI_ISL_14181952"
"GISAID","EPI_ISL_14181953"
"GISAID","EPI_ISL_14181954"
"GISAID","EPI_ISL_14181955"
"GISAID","EPI_ISL_14181956"
"GISAID","EPI_ISL_14181957"
"GISAID","EPI_ISL_14181958"
"GISAID","EPI_ISL_14181959"
"GISAID","EPI_ISL_14181960"
"GISAID","EPI_ISL_14189016"
"GISAID","EPI_ISL_14207724"
"GISAID","EPI_ISL_14207725"
"GISAID","EPI_ISL_14207726"
"GISAID","EPI_ISL_14207727"
"GISAID","EPI_ISL_14207728"
"GISAID","EPI_ISL_14207729"
"GISAID","EPI_ISL_14207730"
"GISAID","EPI_ISL_14207731"
"GISAID","EPI_ISL_14207732"
"GISAID","EPI_ISL_14207733"
"GISAID","EPI_ISL_14207734"
"GISAID","EPI_ISL_14207735"
"GISAID","EPI_ISL_14207736"
"GISAID","EPI_ISL_14207737"
"GISAID","EPI_ISL_14207738"
"GISAID","EPI_ISL_14207739"
"GISAID","EPI_ISL_14207740"
"GISAID","EPI_ISL_14207741"
"GISAID","EPI_ISL_14211644"
"GISAID","EPI_ISL_14211645"
"GISAID","EPI_ISL_14216746"
"GISAID","EPI_ISL_14216748"
"GISAID","EPI_ISL_14216750"
"GISAID","EPI_ISL_14216752"
"GISAID","EPI_ISL_14216753"
"GISAID","EPI_ISL_14216754"
"GISAID","EPI_ISL_14216755"
"GISAID","EPI_ISL_14216756"
"GISAID","EPI_ISL_14216757"
"GISAID","EPI_ISL_14216758"
"GISAID","EPI_ISL_14216759"
"GISAID","EPI_ISL_14216761"
"GISAID","EPI_ISL_14216762"
"GISAID","EPI_ISL_14216764"
"GISAID","EPI_ISL_14216767"
"GISAID","EPI_ISL_14216769"
"GISAID","EPI_ISL_14224334"
"GISAID","EPI_ISL_14244555"
"GISAID","EPI_ISL_14244556"
"GISAID","EPI_ISL_14244557"
"GISAID","EPI_ISL_14244558"
"GISAID","EPI_ISL_14244559"
"GISAID","EPI_ISL_14251112"
"GISAID","EPI_ISL_14254435"
"GISAID","EPI_ISL_14254436"
"GISAID","EPI_ISL_14254437"
"GISAID","EPI_ISL_14254438"
"GISAID","EPI_ISL_14295679"
"GISAID","EPI_ISL_14315314"
"GISAID","EPI_ISL_14315315"
"GISAID","EPI_ISL_14315316"
"GISAID","EPI_ISL_14315317"
"GISAID","EPI_ISL_14315318"
"GISAID","EPI_ISL_14315319"
"GISAID","EPI_ISL_14315320"
"GISAID","EPI_ISL_14315321"
"GISAID","EPI_ISL_14315322"
"GISAID","EPI_ISL_14315323"
"GISAID","EPI_ISL_14315324"
"GISAID","EPI_ISL_14326638"
"GISAID","EPI_ISL_14326639"
"GISAID","EPI_ISL_14326640"
"GISAID","EPI_ISL_14326641"
"GISAID","EPI_ISL_14326642"
"GISAID","EPI_ISL_14326643"
"GISAID","EPI_ISL_14326644"
"GISAID","EPI_ISL_14355206"
"GISAID","EPI_ISL_14355207"
"GISAID","EPI_ISL_14355208"
"GISAID","EPI_ISL_14355209"
"GISAID","EPI_ISL_14355210"
"GISAID","EPI_ISL_14355211"
"GISAID","EPI_ISL_14362272"
"GISAID","EPI_ISL_14362274"
"GISAID","EPI_ISL_14362276"
"GISAID","EPI_ISL_14362278"
"GISAID","EPI_ISL_14362280"
"GISAID","EPI_ISL_14362282"
"GISAID","EPI_ISL_14362285"
"GISAID","EPI_ISL_14362287"
"GISAID","EPI_ISL_14362289"
"GISAID","EPI_ISL_14394060"
"GISAID","EPI_ISL_14414948"
"GISAID","EPI_ISL_14415810"
"GISAID","EPI_ISL_14439712"
"GISAID","EPI_ISL_14439713"
"GISAID","EPI_ISL_14439714"
"GISAID","EPI_ISL_14439715"
"GISAID","EPI_ISL_14439716"
"GISAID","EPI_ISL_14439717"
"GISAID","EPI_ISL_14439718"
"GISAID","EPI_ISL_14439719"
"GISAID","EPI_ISL_14439720"
"GISAID","EPI_ISL_14439721"
"GISAID","EPI_ISL_14439722"
"GISAID","EPI_ISL_14439723"
"GISAID","EPI_ISL_14439724"
"GISAID","EPI_ISL_14439725"
"GISAID","EPI_ISL_14439726"
"GISAID","EPI_ISL_14439727"
"GISAID","EPI_ISL_14439728"
"GISAID","EPI_ISL_14439729"
"GISAID","EPI_ISL_14439730"
"GISAID","EPI_ISL_14439731"
"GISAID","EPI_ISL_14439732"
"GISAID","EPI_ISL_14439733"
"GISAID","EPI_ISL_14439734"
"GISAID","EPI_ISL_14439735"
